Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound, Label,attack_type
70935,172.16.0.5-192.168.50.1-35821-58061-17,172.16.0.5,35821,192.168.50.1,58061,17,2018-12-01 13:04:55.265522,1,2,0,766.0,0.0,383.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,766000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2000000.0,0.0,383.0,383.0,383.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,574.5,383.0,0.0,0,0,0,0,0,0,0,2,766,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,UDP-lag,UDPLag
266180,172.16.0.5-192.168.50.1-31696-31696-6,172.16.0.5,31696,192.168.50.1,31696,6,2018-12-01 13:29:42.771423,47014092,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701617463972291,6716298.857142857,8822248.099072358,21148199.0,0.0,47014092.0,6716298.857142857,8822248.099072358,21148199.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.1701617463972291,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,160,0,0,0,0,0,0,8,0,0,0,5840,-1,0,20,1.0,0.0,1.0,1.0,15671363.333333336,4794693.6983862,21148199.0,12231311.0,0,1,UDP-lag,UDPLag
360814,172.16.0.5-192.168.50.1-57961-21049-17,172.16.0.5,57961,192.168.50.1,21049,17,2018-12-01 13:04:51.354368,1,2,0,802.0,0.0,401.0,401.0,401.0,0.0,0.0,0.0,0.0,0.0,802000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,0,2000000.0,0.0,401.0,401.0,401.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,601.5,401.0,0.0,16,0,0,0,0,0,0,2,802,0,0,-1,-1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,UDP-lag,UDPLag
340212,172.16.0.5-192.168.50.1-41999-25674-17,172.16.0.5,41999,192.168.50.1,25674,17,2018-12-01 13:04:53.433365,1,2,0,766.0,0.0,383.0,383.0,383.0,0.0,0.0,0.0,0.0,0.0,766000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2000000.0,0.0,383.0,383.0,383.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,574.5,383.0,0.0,0,0,0,0,0,0,0,2,766,0,0,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,UDP-lag,UDPLag
358448,172.16.0.5-192.168.50.1-29307-48921-6,172.16.0.5,29307,192.168.50.1,48921,6,2018-12-01 13:29:48.147274,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,UDP-lag,UDPLag
711,172.16.0.5-192.168.50.1-60459-80-6,172.16.0.5,60459,192.168.50.1,80,6,2018-12-01 13:09:37.595360,31543709,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3170204239457065,3504856.5555555555,10514424.541837132,31543322.0,3.0,31543709.0,6308741.8,14106645.825673344,31543477.0,3.0,31543436.0,10514478.666666668,18211606.069613308,31543430.0,3.0,0,0,0,0,232,160,0.1902122543674239,0.1268081695782826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,232,0,0,0,0,0,0,6,0,4,0,65535,28960,0,32,229.0,0.0,229.0,229.0,31543322.0,0.0,31543322.0,31543322.0,0,1,WebDDoS,UDPLag
1276,172.16.0.5-192.168.50.1-59512-80-6,172.16.0.5,59512,192.168.50.1,80,6,2018-12-01 13:22:15.317734,10017770,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6987583064893683,1669628.333333333,4089595.406935149,10017480.0,2.0,10017770.0,2504442.5,5008691.668437079,10017480.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,176,80,0.4991130760638346,0.1996452304255338,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,176,0,0,0,0,0,0,5,0,2,0,65535,28960,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,WebDDoS,UDPLag
119401,172.16.0.5-192.168.50.1-63747-80-6,172.16.0.5,63747,192.168.50.1,80,6,2018-12-01 13:07:01.099296,116,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25862.068965517243,58.0,77.78174593052024,113.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,32,64,8620.689655172413,17241.379310344826,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,2,0,64,244,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,WebDDoS,UDPLag
1393,172.16.0.5-192.168.50.1-21684-80-6,172.16.0.5,21684,192.168.50.1,80,6,2018-12-01 13:23:40.296126,173,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11560.693641618496,173.0,0.0,173.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,5780.346820809248,5780.346820809248,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,64,227,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,WebDDoS,UDPLag
1201,172.16.0.5-192.168.50.1-6259-80-6,172.16.0.5,6259,192.168.50.1,80,6,2018-12-01 13:21:50.822612,5405855,12,9,1726.0,4290.0,458.0,0.0,143.83333333333334,213.05604611904067,1073.0,0.0,476.66666666666674,565.2572423242358,1112.8674372509067,3.884676891999508,270292.75,1117836.9232525013,5004852.0,1.0,401003.0,36454.818181818184,118165.2071599912,392687.0,1.0,5405723.0,675715.375,1754690.0485198388,5005042.0,2.0,0,0,0,0,400,304,2.219815366856862,1.6648615251426464,0.0,1073.0,273.45454545454544,419.9490589597887,176357.2121212121,0,0,0,0,1,0,0,0,0.0,286.4761904761905,143.83333333333334,476.66666666666674,400,0,0,0,0,0,0,12,1726,9,4290,65535,243,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.174.165.72/c.php,1,WebDDoS,UDPLag
